symbol,date,open,high,low,close,volume,turnover
NABIL,2025-11-18,422.76,429.46,420.57,422.53,115078,48623946.5
NABIL,2025-11-19,422.15,424.67,413.26,421.11,116750,49165028.02
NABIL,2025-11-20,420.52,426.06,420.78,422.92,83206,35189103.56
NABIL,2025-11-21,422.21,421.91,415.6,421.66,72847,30716349.29
NABIL,2025-11-24,419.16,421.03,419.53,420.6,14622,6149964.89
NABIL,2025-11-25,430.57,431.01,424.45,428.25,139569,59770348.77
NABIL,2025-11-26,430.35,434.07,427.64,430.14,26017,11190836.57
NABIL,2025-11-27,430.39,434.69,429.44,433.22,98938,42862068.69
NABIL,2025-11-28,429.64,442.99,424.12,429.53,11107,4770794.16
NABIL,2025-12-01,428.48,432.2,428.29,428.43,129143,55328423.24
NABIL,2025-12-02,444.41,451.06,443.85,444.22,58025,25775727.6
NABIL,2025-12-03,447.5,452.64,445.36,448.01,69022,30922772.72
NABIL,2025-12-04,456.51,464.56,455.28,459.26,141800,65122882.73
NABIL,2025-12-05,449.52,448.84,446.7,446.82,117765,52620104.43
NABIL,2025-12-08,439.38,440.79,438.14,438.98,7438,3265132.88
NABIL,2025-12-09,444.09,445.19,443.46,443.73,62013,27517012.95
NABIL,2025-12-10,430.65,429.43,427.23,428.5,149177,63921922.46
NABIL,2025-12-11,420.67,428.38,419.69,423.94,63001,26708800.58
NABIL,2025-12-12,412.09,414.32,410.74,413.23,106276,43915973.52
NABIL,2025-12-15,408.62,406.61,404.97,405.88,132343,53715780.0
NABIL,2025-12-16,406.39,410.29,398.28,405.92,123279,50040885.49
NABIL,2025-12-17,413.51,412.95,407.29,411.66,29259,12044701.04
NABIL,2025-12-18,405.67,412.4,404.71,408.46,124053,50670464.62
NABIL,2025-12-19,407.39,415.59,404.01,407.76,17453,7116573.87
NABIL,2025-12-22,399.97,405.07,398.19,400.34,96434,38606442.89
NABIL,2025-12-23,399.77,403.89,395.23,399.68,114987,45957521.54
NABIL,2025-12-24,405.81,411.93,406.12,407.43,87819,35779661.02
NABIL,2025-12-25,407.22,415.58,404.92,408.92,104937,42911361.46
NABIL,2025-12-26,400.5,405.3,399.23,400.84,73835,29596036.67
NABIL,2025-12-29,404.55,406.12,397.93,403.89,146898,59330617.03
NABIL,2025-12-30,424.59,427.2,421.39,424.73,45888,19489828.09
NABIL,2025-12-31,423.87,422.7,418.48,421.56,126298,53242721.14
NABIL,2026-01-01,428.31,430.24,420.8,426.11,32924,14029307.06
NABIL,2026-01-02,422.5,424.21,409.16,423.46,141504,59920624.33
NABIL,2026-01-05,421.47,423.42,417.72,422.84,120107,50786557.24
NABIL,2026-01-06,424.11,428.68,423.67,423.83,73745,31255006.44
NABIL,2026-01-07,407.95,415.29,406.06,408.03,56052,22871175.35
NABIL,2026-01-08,407.65,412.8,400.91,408.35,55530,22675647.89
NABIL,2026-01-09,415.69,425.43,417.9,418.94,115478,48377864.82
NABIL,2026-01-12,419.68,426.02,415.84,421.3,79418,33458651.85
NABIL,2026-01-13,426.55,428.76,423.19,427.13,97162,41500595.02
NABIL,2026-01-14,423.27,426.26,415.44,423.5,45443,19245010.99
NABIL,2026-01-15,433.15,432.78,424.27,431.32,73008,31489722.64
NABIL,2026-01-16,426.05,427.86,415.03,422.89,39980,16907171.54
NABIL,2026-01-19,422.91,431.46,421.99,423.95,22038,9343118.55
NABIL,2026-01-20,420.03,422.31,413.43,421.37,10446,4401609.01
NABIL,2026-01-21,400.88,400.9,398.31,398.99,107876,43041429.75
NABIL,2026-01-22,403.79,404.54,401.79,402.78,139395,56144841.83
NABIL,2026-01-23,411.4,411.68,409.13,409.52,18872,7728389.6
NABIL,2026-01-26,404.14,405.62,401.66,402.89,116736,47031353.33
NABIL,2026-01-27,415.99,416.48,411.82,414.13,129790,53749331.11
NABIL,2026-01-28,442.5,442.94,436.88,440.68,51032,22488539.65
NABIL,2026-01-29,446.33,447.18,438.74,443.59,38367,17019290.26
NABIL,2026-01-30,422.38,427.55,422.51,425.19,67349,28636062.16
NABIL,2026-02-02,441.3,443.16,437.27,441.72,73225,32344953.32
NABIL,2026-02-03,460.23,462.58,459.61,461.03,139646,64380449.51
NABIL,2026-02-04,451.9,457.76,446.98,454.44,134802,61259841.93
